,Expected Returns
EXPD,0.12759887797051572
EXPE,0.03863759767999109
EXR,0.13229253615939496
F,0.07873451706564971
FAST,0.17435106483639173
FCX,0.33380130022380095
FDS,0.13874954252095995
FDX,0.08699021845228172
FE,0.01249961336194172
FFIV,0.03528439198397426
FI,0.31682599455373306
FIS,-0.11378735859257372
FITB,0.08536011070073513
FMC,-0.021545831210822985
FOXA,-0.06868343319661185
FRT,0.047910418856001336
FTNT,0.2820195867095354
FTV,0.010683573901907772
GD,0.1128259313547304
GE,0.16896791130084732
GEN,0.08432268300629198
GILD,0.09295909420696313
GIS,0.08570876978091624
GL,0.08255231515168404
GLW,0.017859732225768532
GM,-0.0036890747446762795
GOOGL,0.20450064598779694
GPC,0.1025295971780733
GPN,-0.020785818566841363
GRMN,0.1358467742834173
GS,0.17409944416939283
GWW,0.281088868785629
HAL,0.07943512006578768
HAS,-0.10810286939032299
HBAN,0.03281833252029753
HCA,0.19303297237519446
HD,0.15489431766451567
HES,0.21271212265992356
HIG,0.12793469782604427
HLT,0.15945849874001494
HOLX,0.09899463889653592
HON,0.06681131725706901
HPE,0.05148477532094131
HPQ,0.12931453539828852
HRL,-0.020113425937598572
HSIC,0.04219482034166
HST,0.02991677101713175
HSY,0.11595601451617799
HUBB,0.2539476267775933
HUM,0.15050340798562134
IBM,0.09632542127485322
ICE,0.1197827830242848
IDXX,0.20344593162158287
IEX,0.08851704400085714
IFF,-0.08114938669356608
ILMN,-0.15779978416848128
INCY,-0.047827027944406846
INTC,0.02615385781298296
INTU,0.2316278417455444
IP,0.007574583741523755
IPG,0.12212055088202045
IQV,0.12251130713890879
IR,0.1783919467066799
IRM,0.2591856402182877
ISRG,0.16474513894322218
IT,0.25492418790274485
ITW,0.1476235486522428
IVZ,0.005963872028286188
J,0.13517365564755957
JBHT,0.1920797452841485
JCI,0.11244031511240227
JKHY,0.044760638374923944
JNJ,0.05007861323487317
JNPR,0.04458583151110407
JPM,0.11942397862065368
K,0.038378541804857225
